"IPIP NEO (Goldberg, 1999)",Rater56,Rater57,Rater58,Rater59,Rater60,Rater61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feel desperate.,-2,-2,-2,-2,-3,-2,-2.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rush into things.,-1,-1,-1,-2,-2,-1,-1.33333
Wait for others to lead the way.,0,0,0,-2,-1,0,-0.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am not easily disturbed by events.,2,1,3,3,0,1,1.66667
Seldom get emotional.,1,0,-1,1,1,0,0.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avoid contacts with others.,-3,-1,-2,-4,-3,-1,-2.33333
Look down on others.,-3,-3,-3,-3,-3,-3,-3.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do not have a good imagination.,-1,0,-1,-1,-1,0,-0.66667
Break rules.,2,-3,-1,-4,-1,-3,-1.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suspect hidden motives in others.,-1,-1,0,-2,-3,-1,-1.33333
Stumble over my words.,-1,-1,-2,-2,-2,-1,-1.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Don't understand things.,-1,-1,-2,-3,-2,-1,-1.66667
Like to take it easy.,0,0,1,-1,1,0,0.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am not easily annoyed.,2,-2,4,3,2,-2,1.16667
Dislike changes.,-1,-1,-2,-2,0,-1,-1.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Don't like crowded events.,-1,0,0,-1,-2,0,-0.66667
Love a good fight.,-2,-2,-1,-2,-3,-2,-2.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do not enjoy going to art museums.,-1,0,-1,-1,-2,0,-0.83333
Set high standards for myself and others.,1,3,0,3,4,3,2.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pretend to be concerned for others.,0,-1,-1,-3,2,-1,-0.66667
Rarely overindulge.,2,1,1,2,1,1,1.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leave my belongings around.,-2,-1,-2,-1,,-1,-1.40000
Act wild and crazy.,1,0,-2,-4,-2,0,-1.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seldom feel blue.,2,1,3,2,,1,1.80000
Am not interested in abstract ideas.,-1,0,0,-1,-1,0,-0.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Have little to say.,0,0,-2,-2,,0,-0.80000
Think highly of myself.,1,-1,0,1,-2,-1,-0.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rarely notice my emotional reactions.,0,0,-1,-2,2,0,-0.16667
Find it difficult to get down to work.,-2,-1,-2,-2,-3,-1,-1.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Make people feel uncomfortable.,-4,-2,-4,-3,,-2,-3.00000
Remain calm under pressure.,1,2,3,2,3,2,2.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Get others to do my duties.,-2,-2,-2,-4,-2,-2,-2.33333
Look at the bright side of life.,3,3,3,4,2,3,3.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am comfortable in unfamiliar situations.,2,1,-1,3,3,1,1.50000
Believe that too much tax money goes to support artists.,-1,0,0,-1,0,0,-0.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Like a leisurely lifestyle.,0,1,-2,0,0,1,0.00000
Tend to dislike soft-hearted people.,-2,-1,-3,-3,-2,-1,-2.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am a creature of habit.,0,0,1,-2,-1,0,-0.33333
Like to act on a whim.,0,0,0,-1,-1,0,-0.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insult people.,-3,-4,-4,-4,-3,-4,-3.66667
Am relaxed most of the time.,2,2,2,2,2,2,2.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am not highly motivated to succeed.,-3,3,2,-3,-2,3,0.00000
Often feel uncomfortable around others.,-3,-1,-3,-4,-2,-1,-2.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am able to control my cravings.,2,2,2,2,2,2,2.00000
Seldom daydream.,-1,0,0,0,1,0,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distrust people.,-2,-1,0,-2,-2,-1,-1.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misjudge situations.,-1,-1,-2,-2,-3,-1,-1.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seldom get mad.,2,2,4,2,3,2,2.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Want to be left alone.,-2,-1,-2,-3,,-1,-1.80000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do not like poetry.,0,0,0,0,-1,0,-0.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Put people under pressure.,-2,0,-3,-2,,0,-1.40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leave a mess in my room.,-1,0,-1,-2,-1,0,-0.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feel that my life lacks direction.,-2,-1,-2,-2,-2,-1,-1.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keep in the background.,-1,0,0,-3,-1,0,-0.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am not easily affected by my emotions.,2,0,0,1,2,0,0.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am indifferent to the feelings of others.,-2,-2,-4,-4,-3,-2,-2.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break my promises.,-3,-4,-4,-3,-3,-4,-3.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am not embarrassed easily.,1,0,2,1,2,0,1.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Like to take my time.,0,0,0,1,4,0,0.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't like the idea of change.,-1,-1,-1,-2,-1,-1,-1.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yell at people.,-4,-4,-3,-4,2,-4,-2.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand quality.,2,2,0,2,3,2,1.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easily resist temptations.,2,0,2,3,2,0,1.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willing to try anything once.,1,0,3,2,2,0,1.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avoid philosophical discussions.,-1,0,-1,0,-1,0,-0.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Have a high opinion of myself.,2,-1,-1,-2,-1,-1,-0.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste my time.,-2,-2,-2,-2,-2,-2,-2.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can handle complex problems.,2,1,3,3,4,1,2.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laugh aloud.,2,1,3,4,3,1,2.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Believe laws should be strictly enforced.,1,1,0,-1,-1,1,0.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Believe in an eye for an eye.,-1,0,-2,-1,-2,0,-1.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rush into things.,-1,-1,-1,-2,-2,-1,-1.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am not easily disturbed by events.,2,1,3,3,0,1,1.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avoid contacts with others.,-3,-1,-2,-4,-3,-1,-2.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do not have a good imagination.,-1,0,-1,-1,-1,0,-0.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suspect hidden motives in others.,-1,-1,0,-2,-3,-1,-1.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't understand things.,-1,-1,-2,-3,-2,-1,-1.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am not easily annoyed.,2,-2,4,3,2,-2,1.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't like crowded events.,-1,0,0,-1,-2,0,-0.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do not enjoy going to art museums.,-1,0,-1,-1,-2,0,-0.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pretend to be concerned for others.,0,-1,-1,-3,2,-1,-0.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leave my belongings around.,-2,-1,-2,-1,,-1,-1.40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seldom feel blue.,2,1,3,2,,1,1.80000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Have little to say.,0,0,-2,-2,,0,-0.80000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rarely notice my emotional reactions.,0,0,-1,-2,2,0,-0.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Make people feel uncomfortable.,-4,-2,-4,-3,,-2,-3.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get others to do my duties.,-2,-2,-2,-4,-2,-2,-2.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am comfortable in unfamiliar situations.,2,1,-1,3,3,1,1.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Like a leisurely lifestyle.,0,1,-2,0,0,1,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am a creature of habit.,0,0,1,-2,-1,0,-0.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insult people.,-3,-4,-4,-4,-3,-4,-3.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am not highly motivated to succeed.,-3,3,2,-3,-2,3,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am able to control my cravings.,2,2,2,2,2,2,2.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seek danger.,1,0,0,-4,-2,0,-0.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Have difficulty understanding abstract ideas.,-2,0,-1,-1,-1,0,-0.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Know the answers to many questions.,3,1,3,3,3,1,2.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Need a push to get started.,-1,-1,-1,-2,-2,-1,-1.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Know how to cope.,4,2,3,2,3,2,2.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amuse my friends.,3,1,3,1,2,1,1.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Believe that we coddle criminals too much.,0,0,-2,0,0,0,-0.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Try not to think about the needy.,-1,-1,-2,-2,-2,-1,-1.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do crazy things.,-1,-1,0,-4,-2,-1,-1.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't worry about things that have already happened.,2,1,2,-1,2,1,1.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am not really interested in others.,-2,-2,-4,-3,-3,-2,-2.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seldom get lost in thought.,1,0,-2,1,2,0,0.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am wary of others.,-2,-1,0,-3,-2,-1,-1.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Have little to contribute.,-2,-1,-3,-2,-3,-1,-2.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keep my cool.,3,3,3,2,4,3,3.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avoid crowds.,-1,0,0,-1,-1,0,-0.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do not like concerts.,-1,0,-1,0,-1,0,-0.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take advantage of others.,-3,-4,-4,-4,-4,-4,-3.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am not bothered by messy people.,1,0,1,0,2,0,0.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feel comfortable with myself.,4,3,3,4,3,3,3.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't like to draw attention to myself.,-1,0,2,-2,1,0,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experience very few emotional highs and lows.,2,0,-2,-2,-2,0,-0.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turn my back on others.,-2,-4,-4,-4,-4,-4,-3.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do the opposite of what is asked.,-3,-3,-3,-3,-4,-3,-3.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am not bothered by difficult social situations.,4,1,3,2,3,1,2.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Let things proceed at their own pace.,2,0,3,0,-1,0,0.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dislike new foods.,-1,0,-2,-1,-1,0,-0.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get back at others.,-2,-1,-4,-4,-4,-1,-2.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do just enough work to get by.,-3,-2,-3,-3,-3,-2,-2.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Never spend more than I can afford.,3,3,2,3,3,3,2.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Would never go hang gliding or bungee jumping.,-1,0,-2,-1,-1,0,-0.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am not interested in theoretical discussions.,-1,0,3,0,-1,0,0.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boast about my virtues.,-1,-1,-4,-3,-3,-1,-2.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Have difficulty starting tasks.,-2,-1,-1,-2,-2,-1,-1.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Readily overcome setbacks.,4,3,3,3,3,3,3.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am not easily amused.,-1,0,-3,-3,-2,0,-1.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Believe that we should be tough on crime.,2,0,-1,2,1,0,0.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Believe people should fend for themselves.,-1,-1,0,-3,-2,-1,-1.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Act without thinking.,-2,-2,-2,-2,-3,-2,-2.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adapt easily to new situations.,3,2,3,3,4,2,2.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keep others at a distance.,-2,-1,-2,-3,-3,-1,-2.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Have difficulty imagining things.,-1,0,-1,0,-1,0,-0.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Believe that people are essentially evil.,-3,-3,-4,-4,-3,-3,-3.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't see the consequences of things.,-3,-2,-3,-4,-2,-2,-2.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rarely complain.,3,3,4,1,2,3,2.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seek quiet.,0,0,0,-2,0,0,-0.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do not enjoy watching dance performances.,-1,0,0,-1,-1,0,-0.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obstruct others' plans.,-3,-3,-3,-3,-3,-3,-3.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am not bothered by disorder.,1,-1,2,-1,-1,-1,-0.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am very pleased with myself.,1,0,3,-2,-3,0,-0.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hold back my opinions.,0,0,0,1,-2,0,-0.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't understand people who get emotional.,-2,0,-2,-2,-1,0,-1.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take no time for others.,-3,-2,-3,-3,-3,-2,-2.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misrepresent the facts.,-2,-3,-4,-3,-4,-3,-3.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am able to stand up for myself.,2,2,3,2,3,2,2.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
React slowly.,-1,-1,0,-1,-1,-1,-0.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am attached to conventional ways.,0,-1,-2,-2,-1,-1,-1.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hold a grudge.,-2,-2,-4,-3,-3,-2,-2.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Put little time and effort into my work.,-3,-3,-4,-2,-4,-3,-3.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Never splurge.,1,-2,-1,-1,0,-2,-0.83333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dislike loud music.,0,0,0,0,0,0,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avoid difficult reading material.,-2,0,-2,-1,-1,0,-1.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Make myself the center of attention.,-1,0,0,-2,-3,0,-1.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postpone decisions.,-1,-1,-2,-1,-2,-1,-1.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am calm even in tense situations.,3,2,4,1,3,2,2.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seldom joke around.,-2,-1,-4,-2,-3,-1,-2.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Like to stand during the national anthem.,1,2,0,3,2,2,1.66667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can't stand weak people.,-3,-2,-2,-1,-2,-2,-2.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Often make last-minute plans.,-2,0,0,0,-1,0,-0.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
